symbol,name,sector,exchange,searchable
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,NASDAQ,"flws: 1-800 flowers.com, inc."
TFSC,1347 Capital Corp.,Finance,NASDAQ,tfsc: 1347 capital corp.
TFSCR,1347 Capital Corp.,Finance,NASDAQ,tfscr: 1347 capital corp.
TFSCU,1347 Capital Corp.,Finance,NASDAQ,tfscu: 1347 capital corp.
TFSCW,1347 Capital Corp.,Finance,NASDAQ,tfscw: 1347 capital corp.
PIH,"1347 Property Insurance Holdings, Inc.",Finance,NASDAQ,"pih: 1347 property insurance holdings, inc."
FCTY,"1st Century Bancshares, Inc",Finance,NASDAQ,"fcty: 1st century bancshares, inc"
FCCY,1st Constitution Bancorp (NJ),Finance,NASDAQ,fccy: 1st constitution bancorp (nj)
SRCE,1st Source Corporation,Finance,NASDAQ,srce: 1st source corporation
VNET,"21Vianet Group, Inc.",Technology,NASDAQ,"vnet: 21vianet group, inc."
TWOU,"2U, Inc.",Technology,NASDAQ,"twou: 2u, inc."
DDD,3D Systems Corporation,Technology,NYSE,ddd: 3d systems corporation
MMM,3M Company,Health Care,NYSE,mmm: 3m company
DGLD,3X Inverse Gold ETN Velocityshares,Finance,NASDAQ,dgld: 3x inverse gold etn velocityshares
DSLV,3X Inverse Silver ETN Velocityshares,Finance,NASDAQ,dslv: 3x inverse silver etn velocityshares
UGLD,3X Long Gold ETN Velocityshares,Finance,NASDAQ,ugld: 3x long gold etn velocityshares
USLV,3X Long Silver ETN Velocityshares,Finance,NASDAQ,uslv: 3x long silver etn velocityshares
WBAI,500.com Limited,Consumer Services,NYSE,wbai: 500.com limited
JOBS,"51job, Inc.",Technology,NASDAQ,"jobs: 51job, inc."
WUBA,58.com Inc.,Technology,NYSE,wuba: 58.com inc.
SIXD,"6D Global Technologies, Inc.",Consumer Services,NASDAQ,"sixd: 6d global technologies, inc."
CAFD,8point3 Energy Partners LP,Public Utilities,NASDAQ,cafd: 8point3 energy partners lp
EGHT,8x8 Inc,Public Utilities,NASDAQ,eght: 8x8 inc
AVHI,"A V Homes, Inc.",Capital Goods,NASDAQ,"avhi: a v homes, inc."
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,NASDAQ,"amrk: a-mark precious metals, inc."
SHLM,"A. Schulman, Inc.",Basic Industries,NASDAQ,"shlm: a. schulman, inc."
AHC,A.H. Belo Corporation,Consumer Services,NYSE,ahc: a.h. belo corporation
ATEN,"A10 Networks, Inc.",Technology,NYSE,"aten: a10 networks, inc."
AAC,"AAC Holdings, Inc.",Health Care,NYSE,"aac: aac holdings, inc."
AAON,"AAON, Inc.",Capital Goods,NASDAQ,"aaon: aaon, inc."
AIR,AAR Corp.,Capital Goods,NYSE,air: aar corp.
AAN,"Aaron&#39;s,  Inc.",Technology,NYSE,"aan: aaron&#39;s,  inc."
ABAX,"ABAXIS, Inc.",Capital Goods,NASDAQ,"abax: abaxis, inc."
ABB,ABB Ltd,Consumer Durables,NYSE,abb: abb ltd
ABT,Abbott Laboratories,Health Care,NYSE,abt: abbott laboratories
ABBV,AbbVie Inc.,Health Care,NYSE,abbv: abbvie inc.
ABY,Abengoa Yield plc,Public Utilities,NASDAQ,aby: abengoa yield plc
ABGB,"Abengoa, S.A.",Consumer Services,NASDAQ,"abgb: abengoa, s.a."
ABEO,Abeona Therapeutics Inc.,Health Care,NASDAQ,abeo: abeona therapeutics inc.
ABEOW,Abeona Therapeutics Inc.,Health Care,NASDAQ,abeow: abeona therapeutics inc.
ANF,Abercrombie & Fitch Company,Consumer Services,NYSE,anf: abercrombie & fitch company
GCH,"Aberdeen Greater China Fund, Inc.",n/a,NYSE,"gch: aberdeen greater china fund, inc."
JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,NYSE,"jeq: aberdeen japan equity fund, inc. "
SGF,"Aberdeen Singapore Fund, Inc.",n/a,NYSE,"sgf: aberdeen singapore fund, inc."
ABMD,"ABIOMED, Inc.",Health Care,NASDAQ,"abmd: abiomed, inc."
ABM,ABM Industries Incorporated,Finance,NYSE,abm: abm industries incorporated
AXAS,Abraxas Petroleum Corporation,Energy,NASDAQ,axas: abraxas petroleum corporation
ACTG,Acacia Research Corporation,Miscellaneous,NASDAQ,actg: acacia research corporation
ACHC,"Acadia Healthcare Company, Inc.",Health Care,NASDAQ,"achc: acadia healthcare company, inc."
